name,lon,lat,category,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143,e144,e145,e146,e147,e148,e149,e150,e151,e152,e153,e154,e155,e156,e157,e158,e159,e160,e161,e162,e163,e164,e165,e166,e167,e168,e169,e170,e171,e172,e173,e174,e175,e176,e177,e178,e179,e180,e181,e182,e183,e184,e185,e186,e187,e188,e189,e190,e191,e192,e193,e194,e195,e196,e197,e198,e199,e200,e201,e202,e203,e204,e205,e206,e207,e208,e209,e210,e211,e212,e213,e214,e215,e216,e217,e218,e219,e220,e221,e222,e223,e224,e225,e226,e227,e228,e229,e230,e231,e232,e233,e234,e235,e236,e237,e238,e239,e240,e241,e242,e243,e244,e245,e246,e247,e248,e249,e250,e251,e252,e253,e254,e255
Budalang'i,34.057,0.1028,Flood,1.991783649578735,2.6804930992393805,3.8767140814345,-2.672550536088019,1.582212371166156,1.4825696948267877,3.8576803864938873,-0.6473101061772617,-1.7185822230342669,5.285968239543636,1.1870880906283283,3.1737183268139453,-0.6926047761353468,1.25989985801979,-0.21698642476342872,-3.6124263993841628,-0.7429159998927362,-3.7240141652003724,1.9808279062493452,-1.2553638804478209,-4.931133343538095,-1.08384926908245,-1.3389547781507316,3.924593644013313,-0.5411910163207203,-3.063588544547135,1.3411347570931342,-5.645565406857915,0.4592977966076145,-1.2394000446791311,4.021721643829759,-0.6262256904882806,-2.645610043771923,-0.24475999220866723,-5.2753936577483165,-0.7097575961061618,0.6846113532684781,0.6891631340471912,-3.4017975425914253,-2.0023111705780483,3.325305747514496,4.247059646871991,4.058822720793304,-1.8354459850445315,1.5496927504561726,0.7900166246166151,-2.8752264113697223,2.7023642394399374,1.734900265211927,-2.966840201323949,2.723221458434138,3.514053559971295,0.6201363371096881,-1.680964193632762,-0.6677399502449729,-1.001413211325318,0.04858975104977468,-0.48482627043440224,-2.055526336202362,2.484456277135781,-3.0271612174825506,-7.077257012992836,2.9778553986836314,-2.013714016714738,-2.882056256609912,1.7679714776560942,0.07024818731540239,-3.7909563490232077,-3.930948080467531,-1.542054529014644,2.2769786108412937,1.7018212483636312,1.1085288615102213,-2.247273578565961,-1.5112591243220863,3.6796400030553755,4.843927308977815,-0.4994542885360584,1.3851680009318599,-0.03823920526666548,1.1286991575065406,-0.9925961057790941,0.15773320604118854,5.877630369749202,-2.816594800732225,1.8583799695191838,2.7096001897734134,-1.019066613885116,0.3282138166181838,0.6712697521746086,0.07928209990438147,0.9349171083989437,-4.678379512515675,3.128900218957404,-3.5473594355825915,-0.22307357331203803,0.5070962387951914,-2.6005638601954915,0.46940781833290185,-1.0859663670381046,0.5462789448687174,3.232103566312286,0.6470111110426212,-1.166401061765346,-1.1309576874470966,-3.9376362799787143,3.8142899813473683,3.169142619873895,-1.0466091982411563,0.16997867221421536,-1.084899016697565,-3.0043195742517192,5.6134548482563185,1.0557285790960589,-3.523287228882953,-2.629727012421176,-1.0783847438423877,-0.25041341098599595,-2.57170413460499,-2.163029045620243,-2.1849373175144526,1.4486060567284789,1.9028564869782758,-1.4072670527956639,0.11567405490987492,-0.1972396059567134,-0.8767421680276105,1.494072166546044,2.4371098446764163,2.5818928535223677,1.9950711728936987,1.0115235790432622,1.2594092870702942,2.373129736109425,2.4373168689715037,6.554856203810383,2.3240975175330854,-1.0998963934821568,1.7957024764562797,-1.863929302918241,0.7970145461413369,-1.8560484668752282,-0.20561817288200493,-6.009329192486921,-5.3202826578797096,-5.950632128133164,1.7762340602359123,1.3492063721277754,0.6665019281810171,-0.7528991247162038,4.546869527392622,2.2459250632612777,1.6491542870783917,-2.237566516910551,-0.6430885868418821,-2.876354892527286,0.8089181825987217,2.4074858600175806,1.2809752646949237,-0.27989976922982673,-0.9189138909838902,-4.020880204547608,-1.8529197744365653,-2.1270611195968545,2.561160980622793,4.738718544030187,2.947385931699766,-1.2698279562338617,3.485178448204151,-3.321260725115115,-6.016947683398516,1.8176236953136016,2.7326401232306483,2.7068646833847976,2.711603731265151,-1.7534653470343928,1.6566940897276863,0.5120844916359972,0.4498144111324412,-3.999367999992247,0.8367397730045602,-1.5530082488190233,-0.6476636185073534,2.351594972581283,4.507769748647047,-1.4123183158967487,-1.2755075750880598,-3.5283641690366014,-0.46606053636101696,-2.061793628261681,2.2228326160521026,-0.9686688769021347,-3.2502009587240925,1.0698336502125627,-2.5178402109424303,-0.2885263204201686,3.0407548151402204,-0.21415313892178053,-0.7794868481713169,2.9323804109700182,4.120831038574934,-1.2847276434759554,2.0920549818337806,0.46371542739068994,-0.6425096310959674,-0.6092533080067986,2.1612200057106854,-7.34233081763297,1.9044974521314053,0.1014546962280175,-2.958860856603538,-2.8619391539917487,-1.6314014056770898,-0.1060286716883098,-2.3007561149148814,-3.338331155882437,0.2449681712706525,-3.076567227310722,-1.070531211028523,1.4224769997424234,1.8224531556919372,1.1629639237850014,1.1588569369524329,1.0362720919594635,5.3541941024343656,1.552952218704164,1.5709446686695092,1.6610235280292434,-0.6745623398811738,2.549236576199959,-1.098887998201389,-3.91912741422493,-2.755574167882267,-0.36903335959698347,-0.2330566942428504,1.500209136904471,-2.1611370667352228,2.0602589568795464,-4.490045075335535,0.40942986438835505,-0.06967741168697056,-3.3633720461527608,-0.9381221099680292,2.6134935812060047,-0.09686167644111718,-4.126108315607447,-4.4958003798844475,-6.334800850993222,-3.416734208284774,-2.338048389501519,1.0776905327506403,0.377452201358744,-1.0410813411522994,2.7123159563756913,4.419006107675197,-6.069991033363694
Garissa,39.654,-0.456,Flood,-0.6133285241657331,2.095589665322427,1.8172119773290718,0.11566665350756816,-0.3505163856766824,0.24016783959875154,0.15296493832143288,-1.637267341026187,-3.189097766835673,5.180035288262599,1.4842680431990565,-0.776388564476066,-3.583316834034502,2.3334801685643676,2.4802235376187394,-1.041646056033676,0.10735843526396689,-1.5735634170138424,5.629646883509005,-2.6417031824747985,-0.5324614162384156,-1.3799064131261507,-0.031405232953271994,-1.4104401701681066,-2.906281522865836,1.835453989875161,3.271345323054736,-1.435788548062341,2.849144031041319,-2.06285256291239,4.525320998207111,-1.408233602336379,1.2243209837603624,-1.8954457216823783,0.7530510683271113,-4.42748995338078,-1.837625824285008,1.5476608824428941,1.0853345444985698,-1.423036041199211,1.2924903064579571,-1.1259607020728313,0.47668755570500615,0.12290313506217757,-0.22555649791411778,-1.3728674802888299,-5.870081440883567,4.6299678321835245,1.3032215274736025,-1.1998350464104055,2.9809506517545525,-2.955609765948121,-1.6185539322270612,4.290688338015786,-2.1463025044200776,-1.143549625717564,1.5321718037347518,1.212892913384336,-2.959256677030462,-0.6393906340784692,0.7614162091269773,-0.49373063111446003,-2.6241994908194686,1.013739094502904,-0.3200985913369537,-0.5408370867320207,-1.1061009717856758,-0.7768041900095286,1.35275942834831,-2.520213156296529,0.714289926408599,-0.660586004335592,0.9916149829779208,-1.4338232765801104,1.037641747258313,0.9025485373300677,4.503719397047397,1.029308587175619,2.744766555996619,-3.0682654143470893,-2.257562474154905,-1.4281422115515368,-0.6779176909388518,1.7522411087580942,0.9138638595687096,1.8454242531319451,-1.2607816536254468,1.7846440678515736,2.1090494186007094,1.2617407774187626,-2.2571208969351857,3.089317604000676,-2.9857237161017998,0.6564441426694015,5.428808490943203,3.1104270755463848,3.259747213861164,-1.4695074776096013,-0.07754835251819273,2.7826521706587566,-0.03735492859275318,1.9467126526730043,0.30514442838912215,2.761335193843631,-1.1807721446341382,-2.342093246189207,4.638401637487703,2.6822238663295446,-4.633332259539034,-2.614761307378977,-2.949752079043053,-4.771194560079289,3.332236935319879,-1.6924710831516898,0.3816122647254436,4.192477163466814,-1.0800071379303067,2.9345142760542293,2.5333861020390676,0.7752207868385584,-0.7783478061939438,-2.2143584374401333,3.34441412840815,0.3683185907258683,-0.6204995300059077,-1.59671428646753,-3.9776957629069156,-3.4103574109691,2.9780690803410925,0.02100557944228984,1.974350564116664,5.401952642097166,1.9513278762450883,-4.901354813790634,5.047217344445072,-0.2832772816206201,-0.952800448054871,-4.677201116197804,2.7965907306828015,-0.3871804020415518,-1.0286839605358575,0.41164871809781406,-3.1169832626185854,-3.999137375382654,1.4691741793747872,0.7479694146284015,-2.513689748209014,0.7375910628133665,3.080689004375692,0.16725433267669293,-5.892058936707432,-1.566148476146529,-1.803715233993019,-0.4718658187763453,-2.110349788305472,-1.8097686805946611,2.032403033386272,-0.8929036672230136,-5.425588600986608,-1.0890673841784475,3.3915756639187373,0.8842841947270107,-3.919331306981835,-3.7219549810437873,-2.2571898247666344,-2.281840993576645,-2.078597757547638,-0.9795250341222177,-1.6977599747881285,-0.8173406529609539,-0.6505634732137712,0.9061575638892928,3.3671877740417195,-1.8459301668615278,1.6680965077635816,-1.2127567305857747,-2.550442270938629,3.992486720332275,2.2860915818316565,1.4876097730566111,-2.2161430872438754,-0.6547909365043532,-3.132763566777026,0.3686654122218809,1.7535862076542466,3.986710264193506,-0.3717165743583639,2.9642726408167284,-1.7951115768188912,2.024372735688422,2.6583625103244555,0.8601658210003599,3.4893161252997507,-2.862202339913901,-1.8809286120940345,-2.224818819571535,2.269379070517379,-2.201043425149457,3.3266998270117942,4.039121488451422,0.2569704613761109,1.7622334169250236,-0.16151134612519677,3.2224374635245896,-1.919637262132893,-0.9067351715489052,0.0038265643040428145,0.18937778729067428,1.4686759247237773,-0.3665573531540109,1.3504531450436252,-2.200794396725593,0.26845052588080376,0.5285315104168665,-1.7093326333497743,-2.5307263122125296,-2.370894945482412,0.5921130579772264,1.0176620900098723,3.5620116750504183,1.9785022650881816,-3.3803948126760535,2.438349938749386,0.8023689663502791,1.5057948606190799,3.042621845675275,-0.16864222407524154,0.35278382128981955,-1.0054360178326838,6.515202540270383,1.3324807000466554,0.12128473473250242,-1.798109897088516,-0.2970405136678619,1.788715925030278,3.1662945236689657,-6.293355776805678,-3.2167156297007287,-4.885846042834169,-3.0754881357419883,-3.4028861757675815,-2.5946175677648395,-1.1733100406146044,0.38849443426613883,0.4275653423094995,-3.7086012982520082,1.7992160318634673,-1.2955362549891118,4.941775284262253,-2.948645273694645,5.679926857800918,-1.7459131969771378,2.043580581847852,0.7568858500718586,4.06798578769203,0.172912801467925
Ahero,35.1975,-0.1687,Flood,1.8926334662117061,2.505338787600529,3.738246238441317,-2.6151643272461027,2.089842423107736,0.42962661470529684,1.2528689581828716,-0.5334376135024415,-1.7251610457459006,5.7838202101666445,-0.2549579811617059,3.544943234107187,-1.8485344840045927,1.9072329470232448,1.078811777168956,-4.474990763608337,-0.9664857093456718,-4.0039475061349075,1.177144686087501,-1.538809558761287,-3.7358028977739597,-1.5310930250467822,-1.8817010237756753,4.104816022767793,-1.5200864483461736,-4.618562329021184,1.5193640103350856,-5.308807819152066,-0.4687441722953066,-0.43360721444737765,3.742522806101456,-0.4109024028905746,-2.6101804021785266,0.6294953024419483,-5.339715923305345,-1.1615110840282492,1.645689440069651,0.9063723370624174,-2.8198428744923127,-2.053962702019117,2.978333869093988,4.459399487433228,3.6892138638455663,-0.7623468750990909,1.7796477719650836,0.4278177404918099,-2.7845232044966473,2.6427506075056604,0.9502923562264598,-2.549215348297965,2.861840985605616,2.460032200226635,1.355249446172013,-0.25479567774507184,-1.3495448581183815,0.3309904061024901,-0.518465854166011,-1.9281055130060172,-1.79705446513413,4.641421661129594,-3.7859650513251015,-6.914177961304507,2.5950259718150983,-2.559014521913737,-3.5177291713562306,2.679350759163907,-1.359781561081931,-2.801911297417004,-3.0160426112346554,-2.0552719806340107,2.0616235216096728,0.33788225348260054,1.6090249650709918,-0.5425694448493236,-1.2243204690366647,4.588371620343014,4.143191902970128,-0.8112324361309767,-0.2547507887057956,-0.9762401811101162,0.4442062490571213,-0.6629160778647228,0.24415200160252787,5.102236895170502,-2.7846447109449137,3.6107585377559133,1.195428100814916,-1.6107092848680622,1.706906659015017,2.980879914146013,-0.2192186543761851,1.0012807381833773,-5.1828642508315514,3.4517219544370654,-2.297395795723714,-0.8366482617314318,0.5286838810229849,-4.060479322794096,1.0521852585937663,1.08294392705143,-0.06752920068535925,3.1545128941999794,1.2594928500672753,-0.7288734420998582,-0.04545789502525943,-3.250000415366252,3.467674352775619,3.7434650133199576,-1.1921392318165032,0.04375137861509379,-0.5111614385666422,-3.864315716151235,4.692709524968541,1.1785716107875526,-4.271124267250178,-2.475544353401202,-1.9430210072223122,0.9527796722911224,-3.6461415461506137,-2.4728726366097287,-2.295979468608064,0.026322943576357925,0.6892838923439305,-1.2954589355177981,-0.5756395749729527,0.6303901948813747,-0.9298035807274844,0.658578199463025,3.151591120568989,2.5495564561328172,2.3751352333277103,0.8604513777376466,1.6730599397891397,1.7756190203401185,2.782032507718537,5.086567425095216,0.3464364124212097,-0.6594626330429021,3.6038612261940455,-1.3163645209849624,0.5259528576012122,-2.7272836611362656,-0.348789360330616,-5.590370921879919,-6.192497515303181,-5.84571376715804,3.090826514490911,1.9869446074957207,-1.6237057429638109,-0.15482966414532157,3.1037963392689747,0.5685020487562606,1.602860747900361,-3.095768974519242,-0.929888317810246,-3.299615582727503,1.9342562495592455,1.6821679321008585,0.9056967945305998,1.7669307225252786,-1.9985621597370198,-1.785219393131073,-1.1498748959190301,-3.2001239505578947,2.440970820043999,2.511676206613643,2.8252256448773942,-2.5183802877544545,3.3164593101613957,-2.3993814678742234,-5.386192909385843,2.8139939784635453,2.9729696869865543,2.99849422896533,1.2972034535530408,-2.0181041241622606,1.4233082425238106,1.1999758225358352,0.44579279158552126,-3.7817864681250937,0.8119811222280631,-2.6913157086902517,-1.4304707555388705,3.174109209234525,5.193359906495112,-0.6696666316340086,-0.6796274889028866,-2.917205877909275,0.31991787851328796,-2.3191271023271773,1.2057744982744765,-2.054567016875333,-3.1358281960077736,0.39094564176995283,-1.6052032390953874,-0.19006345320266826,3.0300935671457436,-0.8517803321679299,-1.2376893830603557,2.146794761532177,4.631395962950118,-0.6420741213488702,2.58765923841378,0.3751373849950317,-1.8607689791552688,-0.5839408947794044,3.596785982192981,-6.135993846311016,3.4682770688825113,-0.9019781613628663,-2.7627173672533294,-3.063564109390172,-0.5396864669061795,1.0411827951358277,-2.3446173272042645,-3.013207026300812,-0.5581416451569186,-3.6374889012619893,-2.9030480966086873,2.202706051268471,-0.7335901647933126,0.017592597594818543,1.7269917978425253,1.9000856547118739,4.9587239649069,0.8232513160209419,0.9755138284130623,0.38815392469162224,-0.596148029957103,2.4141773833601037,-0.6611392202797712,-3.3229372737392184,-3.867024490937015,-0.7725870382044503,0.14295257310594509,0.8177257792563024,-2.3618497090938773,0.9542842243945452,-4.3803411781806085,-0.4482388422489497,-0.04849893252004328,-2.1757480919059575,-0.49747701902666513,2.9325958703166637,0.25306244445900217,-4.181219979008557,-4.064819748942811,-6.402322721863401,-2.6223502060176975,-3.503114899474502,1.566453636460729,1.2736846991243893,-1.1038228804504049,2.57213543963889,4.766152274109035,-5.878986980988405
Tana Delta,40.28,-2.532,Flood,-0.4840302428661658,-1.2579134248924573,2.2285006215878043,0.2511959357597333,-2.464945573830598,-2.3944616021888887,0.7777621371512858,-1.717285529809889,-2.2701201100653408,4.175171670117169,1.8029204656114661,-2.262007618822499,-0.5967205232831538,3.9882796882687304,-0.8390580519357497,-1.2986222779610945,-0.9860522383377562,-0.14353375232086557,3.4688332899848975,-2.1220594408538798,-0.7760434603122983,-1.11309941680606,-0.6405832759437823,0.06623237430515079,-2.2405709927150124,0.8156314102472182,3.023635034757798,-3.4166698806203244,3.375849326599807,-2.593802986514988,2.474660856154274,0.25184120022156736,1.8106981591504387,-2.226652182860294,2.6597409539309367,-4.292861508214239,0.16885007908436475,2.216083871726098,-0.3661671311032617,-1.6951871897912765,3.3559016196108375,-1.6578005808620668,0.3323465806595911,1.907082112767427,-1.5130830886492819,-0.009180916197106148,-6.754732959200694,5.298014474951115,2.6656098756589404,-0.09775670449259471,2.532897158402973,-1.0518814955705973,-0.5152187051561723,3.9913968485972435,-0.48397144199266573,-3.0907826659108446,2.8534442417003043,0.9494493500065319,-3.0395591856928994,-2.5706012335748287,2.0420116756759277,0.696771236902695,-1.0425115210118843,0.7501767877111715,-1.6378690292474758,-2.7081406785149014,-0.249368601648167,-3.378261932694846,-2.652684457743134,-1.6679755512901269,2.1929967813151174,1.7614614950387164,-1.1164217753219607,-2.6587161136199655,-0.18349640761037836,-1.3012507655692949,2.6252426812418905,1.8527485210438703,1.559478336935057,-2.4769477890817515,-1.6443703110134917,-1.4047483325378327,0.17116330874955948,0.6242278433752302,3.3043504963982855,0.5109873591887814,2.2569946800903216,-0.23135388983616867,-1.4397743771008193,-2.406305860067863,-3.2870280455447203,1.7342704861425389,-2.3136663902979584,-1.4750301152691052,3.275020160126135,4.708448569525874,2.3182195712770923,0.47064576318255713,2.4120263540644564,-0.4654295583218301,0.4218281676318105,2.4199467967607786,-0.5476387854773305,-0.7965505970440442,-4.989279032745118,-0.27316917503872584,3.8241329379578266,4.11109256631784,-3.8166674257503423,-3.367572348638178,-2.271314680848405,-5.644523656309314,1.9115168597468108,-1.7438221238034126,0.8975617274227856,3.296623833238403,-0.2500315115585662,2.2415643664356213,1.7177476568158094,2.744646108647963,1.6238070064817807,-2.0016202803105103,0.7677181287478426,2.329433494814568,-0.3046610951134259,-0.09565489979320244,-3.79672008506248,-2.73973702448209,4.546695374556183,0.2486932553725474,3.0958554507973917,4.213148934021599,-1.1804134289715014,-2.5504143242012436,4.067323573418358,0.8470516945634079,0.6910160499995305,-2.861659353503701,2.0307788388188626,1.260719182275325,-0.31477431055122745,1.4393968313117904,-0.8725599290954779,-3.202190507650923,1.4757479403517308,-0.4461259785473661,-3.491814974608052,-1.35615916759552,5.635799847298044,1.4684344129964457,-3.7672349348515293,1.0373241555564539,-3.6185088727629995,0.003854977172182694,0.8258437148910825,-0.6330406220480167,0.09078326825621064,0.2922368592808491,-2.070872008872044,-4.496516811079022,4.8512741315839945,-1.7717045452364395,-2.696651106791477,-0.7658732803132091,-0.07214324815899217,0.1325151553552122,0.39510159686287283,-3.198473910027136,-1.228604359504304,-2.201750713006083,0.49294400372800307,-2.3560776178418976,4.580176783922063,-1.5689781622864925,2.3203517377724654,1.0495586262277374,-0.3690071906171303,1.8792214920927952,1.0227199175587598,-0.1999850494885198,-0.48067191547425037,-0.7379387799680858,-0.8545692951113402,-0.8628539531891909,0.3323810938238103,4.328158237964523,-3.392433496636681,-0.22531038746160734,-0.6891972011120927,3.750271866279426,4.554348653350043,3.328328004368363,2.819937311587366,-0.42299855176834666,-2.753288220781027,-2.34013051490986,3.8833988757921785,0.9024555164040121,3.1903008366991803,4.354780430794584,-0.7808120180586523,0.8545267539436829,-0.540812571588959,1.6111459525762548,-2.5210471186316017,-0.003908286011994583,-0.29773291158368914,-1.1341098110022418,2.586263197326894,-0.09100478884115551,-0.23531142128480786,-2.286707832160115,-2.9109901494069286,0.35716357136663185,-0.09451443882023622,-0.5739950368903457,1.3151555667850325,0.6282134898952886,4.727282310531411,0.5923779956476822,3.9960712541462566,-2.59456257021549,1.2118050289746436,0.8604150100360304,0.629059500897033,3.6436450795133712,0.6751285452469307,1.3997986570801404,-1.6425785883052457,6.214051057332697,2.0224044544922832,-0.3510157526310681,-0.37294152746766357,0.8221293267191312,1.3298310053146145,3.302302126766853,-2.0229266443389773,-1.8675003636758745,-1.8094444821669213,-4.965120399822062,-0.21478153487873125,-3.2143810403661286,-1.381024127893427,0.9775594437545099,0.09651825692198376,-5.328608357994928,1.2528633795503994,0.09986021518139371,5.199228216972342,-0.8216777166548394,3.6895490123465864,-1.452481848858973,1.0291384096006553,-0.8982570273922407,1.9199221130208253,-0.5406477120736395
Lodwar,35.597,3.119,NonFlood,-1.228534341916386,4.173942578795814,2.568897545394421,-3.8287959602128576,2.870150377491289,1.1081917289758185,2.3690453264761464,-3.3611799955796946,-3.7036778312270933,0.821712092427052,0.1362782162022001,2.8979177435554817,-4.721965228297332,0.7133428080613449,1.8447376319059652,-4.926407883893646,-2.2185082072998,1.1478719092362843,3.9980345201650547,-0.6248186421635009,-3.5104905183386044,2.415288132319542,-2.259736188193893,-1.0798081499926617,-1.0927404358300579,-0.19729581633039361,1.9728275541177622,-0.35649237733672884,0.6443574434552252,0.9727527799003144,2.2254141672611167,0.14385476046518295,-0.5357988000426189,4.575132852452018,-5.3383014413948455,0.35282381083645775,-0.20967608619125336,0.8908447329487069,-0.7931731663492848,0.05551409463806672,1.3940857652645435,1.2910315574395559,1.390876438043308,1.4928435834045333,2.5562633793460616,2.4489278822408806,-1.0540674790739342,0.35993623226709376,-2.550332699604567,-4.089980892404931,2.5816537106221604,-4.610702106053825,1.1582766556186532,2.490438059961325,-3.2785037959587413,1.7961566769439494,-2.25717947554956,3.1191817647676485,-4.406229669380592,3.7463929853273195,-0.6666724995700237,-2.412664033397215,-0.7720798726508241,-0.045080054312735374,-0.9074674479903383,4.336086296576239,1.998412131938447,-1.1531996341657855,1.6077753577005722,0.4618628023886011,-0.5976820218108629,-2.0845665174935575,2.547848443108953,-2.6125912264823716,-0.8890842133369087,3.223244650225176,2.0675679128399795,1.2684121019891965,-1.4628049887603383,1.3063172818050959,0.47469651535949037,1.4562996595585123,2.6044841352306314,8.704704796041002,-0.3892829109162431,6.009879695723265,2.7956784583450216,-1.0180735738962505,-1.392788323617261,2.911624432847082,2.543901166350623,2.427255568446953,-6.2908888568925825,-1.4030390342721142,-1.5225041805474453,-1.5424719509442106,0.9216777331204405,0.29723486072579947,-3.5418818523067657,-1.6379359004452756,3.425259734460432,4.464769356293142,2.4519022488703404,1.1481951864167448,0.39933878211245694,-1.2677813650681489,5.022401208184246,-0.9188706687085199,-1.4118382878930287,-2.9992072665118936,-4.096391572672526,-2.514654423519313,4.965378438818331,-2.3643568951081333,1.1024824408442158,-0.9618004323466119,-3.07015101227998,1.789717519413407,-2.2276890085323937,-1.6029860713886217,-3.0576781978158842,1.086736364593091,-0.07158566925759324,0.9939896160228678,1.2966889916212812,-1.113717444103019,-0.602582183884252,-0.5396457040196421,4.224477903433735,6.46142886912256,0.19827158927868663,0.1602820148294908,2.46439261017396,-2.5979096671694513,1.9979683370527135,2.6369033512312576,1.9786012554732895,-0.356122185408438,3.312771359786664,-2.7719991632515377,0.3953930673668533,-2.181648714141074,2.012951799698412,-2.45246386984765,-4.16376345475184,0.8702368130243894,-1.2363941187545568,6.457032807064926,1.1400903352057654,-0.4699646480480826,-1.958394075508566,-4.023317464598383,0.667861909003365,-5.293203181411541,-3.136012876639507,-5.053137143558088,0.966057966013043,-2.862756025287029,-3.9888137714133887,0.7279258852550454,1.0006107113382123,3.4064890629234603,-1.3112291356747006,-0.15877938224093674,0.6309297044696993,-2.5181857315370575,1.0892343658144135,-0.3790178593285283,-0.07499205983071955,-2.3278163831039795,-3.2745347554978643,2.5587947827098105,3.179594733644636,1.6598816354300836,0.7017822293180185,-1.800055235661525,0.9199509586420009,5.386765349218571,-2.6529953507443826,-1.5455861826855801,3.507485198685418,-0.5546724718818707,-3.650174265955419,-0.185664385268397,-0.03010215926358427,-0.44962911847041104,-1.3321792555645786,0.7486625209520749,-4.576967894029463,-2.3973589240817956,0.34392054518618054,0.5656527097521303,-1.1570172596915893,0.10615225504671441,-0.3490609728677132,-0.8653253102545021,0.8202121458148623,2.0051940139778197,2.2510271835412348,-0.608652161631128,3.6758481008749047,-3.49489701872659,1.5343033678035631,2.120201987689183,-2.034799593642682,-3.2225062088979337,3.3035645753856944,0.7845164770585593,3.7991727802313044,-2.154486186111836,1.6124284310366064,-6.227138919793232,-2.4528106859072962,-0.3415017022529958,-0.09613504653344598,-0.7800930986972774,2.477855886315995,-3.1986822690245926,-3.3020975564346626,6.16783908909437,-2.4293251498398685,-2.0285504066696345,-1.2471321696300925,-4.410697648596299,0.3371561941975171,-1.0794695349196926,1.33517603233917,-1.1282901120394497,-1.7289214518094125,4.124227310888155,0.09921390544280216,0.7207910044586224,-3.6334513110999285,-0.40683175006811,-2.580606378140378,-4.1799111810639955,-7.455066243357627,2.435580409742032,-7.058860250756469,-2.2255501590258424,-2.8280409953826844,2.0812761612971458,-0.9918097890370323,1.2074608336310482,-0.2030512440296709,-5.357170964561119,-1.590530100518232,-1.9794014182689326,-2.371705678291263,-0.4748295420214995,1.8653957298725796,-1.4475226719696686,-0.23285571734806756,0.7651665229208434,0.7259585254811206,-0.8171382701388967
